,,0
139991,139831,1.0000000000000024
140006,139841,1.0000000000000024
110992,57493,1.000000000000002
141672,141484,1.0000000000000016
140160,138918,1.0000000000000016
110953,57466,1.000000000000001
141389,141201,1.000000000000001
140537,140516,1.0000000000000009
140561,140528,1.0000000000000009
140161,138919,1.0000000000000009
140015,139848,1.0000000000000009
139692,139667,1.0000000000000009
141728,141539,1.0000000000000009
141783,141754,1.0000000000000002
141676,141488,1.0
140569,140532,1.0
141689,141500,1.0
141450,141262,1.0
110903,57418,0.9999999999999998
141734,141545,0.9999999999999992
141371,141179,0.9999999999999992
141390,141202,0.999999999999999
141396,141208,0.9999999999999988
140477,140456,0.9999999999999988
110840,57188,0.9999999999999988
140035,139862,0.9999999999999988
140016,139849,0.9999999999999984
140174,138867,0.9999999999999982
139982,139822,0.999999999999998
110801,57382,0.9999999999999968
141673,141485,0.9999999999608612
139633,139611,0.9999999999565524
140152,138874,0.9999999999530212
140203,140043,0.999999999951941
140186,138955,0.999999999945653
140170,138942,0.99999999994207
140027,139858,0.9999999999406264
140187,138958,0.9999999999358234
140140,139637,0.9999999999348942
140194,138956,0.9999999999347774
140189,138952,0.9999999999345428
141688,141499,0.9999999999288512
140156,138912,0.999999999925125
140214,138925,0.9999999999233482
140139,139032,0.999999999918055
140541,140518,0.9999999999178236
110762,57154,0.9999999999159463
110756,57373,0.9999999999156254
111022,57214,0.9999999999126724
141393,141205,0.999999999908888
141435,141247,0.9999999999080912
140131,139027,0.9999999999005964
141430,141242,0.9999999998987524
140180,138957,0.9999999998958164
140207,138910,0.9999999998917424
140155,138911,0.9999999998901836
141381,141194,0.999999999887519
70581,63291,0.9999999998863984
110729,57359,0.999999999882194
141659,141472,0.9999999998774336
141795,141760,0.999999999876698
110885,57205,0.9999999998759702
140128,138896,0.9999999998758063
141670,141482,0.9999999998756072
140475,138851,0.9999999998752808
140481,140458,0.999999999874124
141368,141176,0.9999999998739704
70592,63294,0.9999999998733348
139965,139805,0.9999999998732146
139968,139808,0.999999999869099
110735,57363,0.9999999998684858
110861,57402,0.9999999998663536
141409,141221,0.9999999998640856
141801,141763,0.9999999998640738
110864,57404,0.9999999998639908
139952,139793,0.999999999862032
141767,141746,0.9999999998619912
70584,63288,0.9999999998615876
110852,57196,0.999999999861505
139955,139796,0.9999999998609224
110768,57160,0.9999999998608594
141738,141549,0.9999999998603096
141427,141239,0.9999999998597776
139956,139797,0.9999999998587944
141793,141759,0.9999999998587298
141663,141475,0.9999999998586688
140173,138944,0.9999999998574468
140022,139855,0.9999999998574244
141680,141492,0.9999999998570818
139945,138985,0.999999999856983
141426,141238,0.9999999998567548
139994,138991,0.9999999998565712
141775,141750,0.9999999998558794
139649,139610,0.9999999998552332
110732,57361,0.9999999998542822
140021,139854,0.9999999998542684
110915,57432,0.999999999854111
141731,141542,0.9999999998539628
110822,57182,0.999999999852766
141733,141544,0.9999999998523909
139972,139812,0.99999999985188
141765,141745,0.99999999985108
141730,141541,0.9999999998507784
141737,141548,0.9999999998503208
141797,141761,0.9999999998502012
110930,57444,0.9999999998500038
141382,141195,0.9999999998480276
141692,141503,0.9999999998470616
139652,139612,0.9999999998444796
140005,139840,0.9999999998444578
141714,141525,0.999999999844219
141369,141177,0.9999999998439492
140190,138953,0.999999999843558
141700,141511,0.9999999998419702
70582,63330,0.9999999998414764
141372,141185,0.9999999998414404
140167,138927,0.9999999998406442
110807,57386,0.999999999840106
141370,141178,0.9999999998397898
110753,57371,0.9999999998383878
140196,138966,0.9999999998376342
141380,141193,0.999999999837528
140024,139011,0.9999999998375074
140023,139856,0.9999999998361936
141665,141477,0.9999999998361688
141694,141505,0.9999999998358664
110858,57400,0.9999999998357502
141415,141227,0.999999999834117
140205,138975,0.9999999998322914
139627,139601,0.9999999998318008
140003,138883,0.999999999830888
141704,141514,0.9999999998301352
141732,141543,0.9999999998282266
139962,139802,0.9999999998272529
140030,138894,0.999999999826212
110816,57178,0.9999999998261176
140547,140521,0.9999999998259156
141397,141209,0.9999999998256676
139974,139814,0.9999999998254364
141664,141476,0.9999999998245004
141455,141267,0.9999999998233652
110765,57158,0.999999999822752
141779,141752,0.99999999982217
141443,141255,0.9999999998213276
141791,141758,0.99999999982033
140004,138885,0.9999999998173108
140012,138888,0.9999999998167636
110771,57162,0.9999999998156864
141652,141465,0.9999999998151348
140019,139852,0.999999999815092
139985,139825,0.999999999814315
140501,140468,0.9999999998140656
139992,139832,0.9999999998140152
110924,57440,0.9999999998138324
110819,57180,0.9999999998124004
139616,139596,0.9999999998110224
140025,138891,0.9999999998105396
110984,57487,0.9999999998086536
139973,139813,0.9999999998076232
140553,140524,0.999999999806502
140127,138895,0.9999999998062592
141773,141749,0.99999999980619
141421,141233,0.9999999998056056
139647,139609,0.999999999805482
110741,57365,0.9999999998054302
139993,138989,0.9999999998044888
141703,141513,0.999999999804314
140028,139859,0.9999999998039176
141702,141512,0.9999999998023222
139620,139598,0.9999999998009368
141739,141550,0.9999999997985384
110804,57384,0.999999999797198
110906,57422,0.9999999997952616
140184,138947,0.999999999795191
141448,141260,0.9999999997934048
141789,141757,0.9999999997893992
141444,141256,0.9999999997885128
141671,141483,0.999999999786252
141685,141524,0.9999999997843072
110888,57207,0.9999999997831688
140507,140471,0.9999999997830832
139632,139603,0.9999999997819268
141721,141532,0.9999999997802712
139975,139815,0.999999999780268
140000,139838,0.9999999997762878
139943,138982,0.999999999775798
141781,141753,0.9999999997726612
141711,141521,0.9999999997724018
141769,141747,0.9999999997722444
140487,140461,0.999999999770281
141724,141535,0.9999999997692044
141683,141495,0.999999999768855
140555,140525,0.9999999997666122
