,1,2,value,index_name1,year_period1,type1,sub_type1,index_id_x,value_ontology1,index_id_y,dispersion1,index_name2,year_period2,type2,sub_type2,index_id_x,value_ontology2,index_id_y,dispersion2
0,56097,56046,1.000000000000001,70后人口数量（月度）（算法T-APP）,f,人口,,56097,ValueOntology.QUANTITY,56097.0,0.1199946814830024,70后人口占常住人口的比重（月度）,f,人口,,56046,ValueOntology.PERCENTAGE,56046.0,0.1199946814830023
1,59081,56046,-0.7347055858265813,90后人口数量（月度）（算法T-APP）,f,人口,,59081,ValueOntology.QUANTITY,59081.0,0.1314695678166924,70后人口占常住人口的比重（月度）,f,人口,,56046,ValueOntology.PERCENTAGE,56046.0,0.1199946814830023
2,59073,56046,0.579675466443137,60后人口占常住人口的比重（月度）,f,人口,,59073,ValueOntology.PERCENTAGE,59073.0,0.0964829506754891,70后人口占常住人口的比重（月度）,f,人口,,56046,ValueOntology.PERCENTAGE,56046.0,0.1199946814830023
3,56098,56046,0.579675466443137,60后人口数量（月度）（算法T-APP）,f,人口,,56098,ValueOntology.QUANTITY,56098.0,0.096482950675489,70后人口占常住人口的比重（月度）,f,人口,,56046,ValueOntology.PERCENTAGE,56046.0,0.1199946814830023
4,56094,56046,-0.7347055858265834,90后人口占常住人口的比重（月度）,f,人口,,56094,ValueOntology.PERCENTAGE,56094.0,0.1314695678166923,70后人口占常住人口的比重（月度）,f,人口,,56046,ValueOntology.PERCENTAGE,56046.0,0.1199946814830023
5,56097,394,0.5159277695064596,70后人口数量（月度）（算法T-APP）,f,人口,,56097,ValueOntology.QUANTITY,56097.0,0.1199946814830024,劳动力人口数量（月度）（算法T-APP）,f,人口,,394,ValueOntology.QUANTITY,394.0,0.0399782391060329
6,59073,394,0.6708140540700303,60后人口占常住人口的比重（月度）,f,人口,,59073,ValueOntology.PERCENTAGE,59073.0,0.0964829506754891,劳动力人口数量（月度）（算法T-APP）,f,人口,,394,ValueOntology.QUANTITY,394.0,0.0399782391060329
7,56096,394,0.6458398963056712,80后人口数量（月度）（算法T-APP）,f,人口,,56096,ValueOntology.QUANTITY,56096.0,0.0441469431332847,劳动力人口数量（月度）（算法T-APP）,f,人口,,394,ValueOntology.QUANTITY,394.0,0.0399782391060329
8,65660,394,-0.5400460312744597,当地民众对生态安全的关注强度,f,舆情,生态安全,65660,ValueOntology.SCORE,65660.0,0.2610946397477529,劳动力人口数量（月度）（算法T-APP）,f,人口,,394,ValueOntology.QUANTITY,394.0,0.0399782391060329
9,107517,394,0.5510686475381048,每万人共享充电宝相关兴趣点数量,f,POI,平均每万人相关兴趣点数,107517,ValueOntology.QUANTITY_PER_CAPITA,107517.0,0.6724272692304947,劳动力人口数量（月度）（算法T-APP）,f,人口,,394,ValueOntology.QUANTITY,394.0,0.0399782391060329
10,107420,394,0.6230544333329725,每万人咖啡厅相关兴趣点数量,f,POI,平均每万人相关兴趣点数,107420,ValueOntology.QUANTITY_PER_CAPITA,107420.0,0.5605861023533231,劳动力人口数量（月度）（算法T-APP）,f,人口,,394,ValueOntology.QUANTITY,394.0,0.0399782391060329
11,107590,394,0.5912810863718445,每万人商务楼宇相关兴趣点数量,f,POI,平均每万人相关兴趣点数,107590,ValueOntology.QUANTITY_PER_CAPITA,107590.0,0.5310437192141735,劳动力人口数量（月度）（算法T-APP）,f,人口,,394,ValueOntology.QUANTITY,394.0,0.0399782391060329
12,107629,394,0.6043222951956394,每万人停车场相关兴趣点数量,f,POI,平均每万人相关兴趣点数,107629,ValueOntology.QUANTITY_PER_CAPITA,107629.0,0.5217247514596475,劳动力人口数量（月度）（算法T-APP）,f,人口,,394,ValueOntology.QUANTITY,394.0,0.0399782391060329
13,107591,394,0.5870830684626955,每万人商务写字楼相关兴趣点数量,f,POI,平均每万人相关兴趣点数,107591,ValueOntology.QUANTITY_PER_CAPITA,107591.0,0.5398037362092336,劳动力人口数量（月度）（算法T-APP）,f,人口,,394,ValueOntology.QUANTITY,394.0,0.0399782391060329
14,107620,394,0.6091766863181902,每万人交通服务设施相关兴趣点数量,f,POI,平均每万人相关兴趣点数,107620,ValueOntology.QUANTITY_PER_CAPITA,107620.0,0.5363343337035829,劳动力人口数量（月度）（算法T-APP）,f,人口,,394,ValueOntology.QUANTITY,394.0,0.0399782391060329
15,107512,394,0.5923237798570863,每万人中介机构相关兴趣点数量,f,POI,平均每万人相关兴趣点数,107512,ValueOntology.QUANTITY_PER_CAPITA,107512.0,0.506676888586649,劳动力人口数量（月度）（算法T-APP）,f,人口,,394,ValueOntology.QUANTITY,394.0,0.0399782391060329
16,107630,394,0.6251897921899605,每万人公共停车场相关兴趣点数量,f,POI,平均每万人相关兴趣点数,107630,ValueOntology.QUANTITY_PER_CAPITA,107630.0,0.5134536115858218,劳动力人口数量（月度）（算法T-APP）,f,人口,,394,ValueOntology.QUANTITY,394.0,0.0399782391060329
17,107617,394,0.5208124276158994,每万人科研机构相关兴趣点数量,f,POI,平均每万人相关兴趣点数,107617,ValueOntology.QUANTITY_PER_CAPITA,107617.0,0.532149353471569,劳动力人口数量（月度）（算法T-APP）,f,人口,,394,ValueOntology.QUANTITY,394.0,0.0399782391060329
18,107527,394,0.5841803723751678,每万人健身中心相关兴趣点数量,f,POI,平均每万人相关兴趣点数,107527,ValueOntology.QUANTITY_PER_CAPITA,107527.0,0.4508479351414904,劳动力人口数量（月度）（算法T-APP）,f,人口,,394,ValueOntology.QUANTITY,394.0,0.0399782391060329
