,index_id1,index_id2,value,comment1,comment2,index_name1,year_period1,type1,sub_type1,value_ontology1,dispersion1,index_name2,year_period2,type2,sub_type2,value_ontology2,dispersion2
2499,107533,15.0,0.5588634602273408,107533,15,每万人酒吧相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.4009449256565843,官媒垃圾治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
2501,107532,15.0,-0.5018667652778017,107532,15,每万人KTV相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.3468549819799695,官媒垃圾治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
2506,107336,15.0,0.5585872110644793,107336,15,每万人垂钓园相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.3217710518429727,官媒垃圾治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
2536,107543,15.0,-0.5351463505747267,107543,15,每万人电影院相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.3447962120508774,官媒垃圾治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
2540,107483,15.0,-0.5837886253267384,107483,15,每万人售票处相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.3333291348103737,官媒垃圾治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
2865,56613,15.0,0.558756244846034,56613,15,体育休闲服务；娱乐场所；酒吧；此类数据总个数,f,POI,体育休闲服务,ValueOntology.QUANTITY,0.4117647058823529,官媒垃圾治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
2891,56469,15.0,0.6088356562753727,56469,15,购物服务；便民商店/便利店；此类数据总个数,f,POI,购物服务,ValueOntology.QUANTITY,0.3022162525184688,官媒垃圾治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
2908,56623,15.0,0.5579753374328699,56623,15,体育休闲服务；休闲场所；垂钓园；此类数据总个数,f,POI,体育休闲服务,ValueOntology.QUANTITY,0.3333333333333333,官媒垃圾治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
2938,56545,15.0,-0.5751895306010565,56545,15,生活服务；售票处；此类数据总个数,f,POI,生活服务,ValueOntology.QUANTITY,0.3333333333333333,官媒垃圾治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
3002,54182,15.0,-0.5378619436506107,54182,15,体育休闲服务；影剧院；电影院；此类数据总个数,f,POI,体育休闲服务,ValueOntology.QUANTITY,0.3333333333333333,官媒垃圾治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
3073,107533,27.0,0.5588634602273408,107533,27,每万人酒吧相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.4009449256565843,民众垃圾污染抱怨网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
3075,107532,27.0,-0.5018667652778017,107532,27,每万人KTV相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.3468549819799695,民众垃圾污染抱怨网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
3080,107336,27.0,0.5585872110644793,107336,27,每万人垂钓园相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.3217710518429727,民众垃圾污染抱怨网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
3110,107543,27.0,-0.5351463505747267,107543,27,每万人电影院相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.3447962120508774,民众垃圾污染抱怨网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
3114,107483,27.0,-0.5837886253267384,107483,27,每万人售票处相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.3333291348103737,民众垃圾污染抱怨网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
3439,56613,27.0,0.558756244846034,56613,27,体育休闲服务；娱乐场所；酒吧；此类数据总个数,f,POI,体育休闲服务,ValueOntology.QUANTITY,0.4117647058823529,民众垃圾污染抱怨网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
3465,56469,27.0,0.6088356562753727,56469,27,购物服务；便民商店/便利店；此类数据总个数,f,POI,购物服务,ValueOntology.QUANTITY,0.3022162525184688,民众垃圾污染抱怨网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
3482,56623,27.0,0.5579753374328699,56623,27,体育休闲服务；休闲场所；垂钓园；此类数据总个数,f,POI,体育休闲服务,ValueOntology.QUANTITY,0.3333333333333333,民众垃圾污染抱怨网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
3512,56545,27.0,-0.5751895306010565,56545,27,生活服务；售票处；此类数据总个数,f,POI,生活服务,ValueOntology.QUANTITY,0.3333333333333333,民众垃圾污染抱怨网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
3576,54182,27.0,-0.5378619436506107,54182,27,体育休闲服务；影剧院；电影院；此类数据总个数,f,POI,体育休闲服务,ValueOntology.QUANTITY,0.3333333333333333,民众垃圾污染抱怨网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7675309369475546
