,,0
8_2_1,4_2_1,0.9999998554450352
8_2_1,8_1_1,0.9999997317700704
8_1_1,4_2_1,0.9999992498055412
7_2,7,0.9999853813928318
2_2_3,2_2,0.9999664496012136
8_2_1,8,0.9993781397845314
8,4_2_1,0.9993780812925908
8_1_1,8,0.999371778040936
8,4_2_2,0.9991432810192512
2_1_4_3,2_1_4,0.9991420054615024
3_1_4,3_1,0.9991290143797592
4_2_2,2_3,0.9988793971301876
8_2_1,8_1_2_3,0.998641157893106
8_1_2_3,4_2_1,0.9986405947343134
8_1_2_3,8_1_1,0.998631739173653
8,2_3,0.9985928697126992
8_1_2_2,8,0.9984209079128984
8_1_1,2_3,0.9980583350402812
8_2_1,2_3,0.998038364162044
8_1_1,4_2_2,0.9980246771949054
4_2_1,2_3,0.9980153889042332
8_2_1,4_2_2,0.9980108998565798
4_2_2,4_2_1,0.9979980105942884
8_1_2_3,8,0.9979332173762454
8_1_2_3,8_1,0.9976649651079864
8_1_2_2,4_2_1,0.997107687728109
8_2_1,8_1_2_2,0.997094590012752
8_1,8,0.9970774010060892
8_1_2_2,8_1_1,0.9970685714338068
8_1_2_2,4_2_2,0.9970276910828888
8_1,2_3,0.9968164959686988
8_1,4_2_2,0.9964397846806068
2_1_4_1,2_1_4,0.9963887165190826
8_1_2_3,2_3,0.9962466830538164
8_1_1,8_1,0.9961609857408994
8_2_1,8_1,0.9961527973320023
8_1,4_2_1,0.9961326843199138
8_1_2_2,8_1,0.9960421565533812
8_1_2_3,8_1_2_2,0.995674562507628
8_1_2_3,4_2_2,0.9956513143030968
8_1_2,8_1,0.9952903285928
8_1_2_2,2_3,0.99526946118558
8_1_2_3,8_1_2,0.9947957740167416
7_2,5_3_2,0.9943868371583628
7,5_3_2,0.9938516556410611
2_1_4_3,2_1_4_1,0.9924449115066444
7_3,5_3_2,0.9923402571599244
5_1,1_1,0.9913530701648424
8_1_2_2,8_1_2,0.9911295435836308
8_1_2,8,0.9898513771324728
8_1_2,4_2_1,0.9894534611472728
8_2_1,8_1_2,0.989444863409814
8_1_2,8_1_1,0.9894074749552192
2_1_4_3,2_1_3,0.9882303695009496
8_1_2_3,5_2,0.9874513754888428
8_1_2,4_2_2,0.9865175528721408
8_1_2,2_3,0.9861744941402776
3_3,1,0.9850249779822748
8_2_1_4,5_1,0.9843247756708348
8_1,5_2,0.9841067650104192
7_3,7_2,0.9838835178514488
8_1_1,5_2,0.9836445021633
8_2_1,5_2,0.9836230213367148
5_2,4_2_1,0.983604108146787
2_1_3,2_1,0.9833492200105864
7_3,7,0.983282436041246
5_2,2_3,0.9825817003942012
5_3,2_1_4,0.9824863172721622
8_1_2,5_2,0.982448677972108
2_1_4,2_1_3,0.9823410792728184
5_3,2_1_4_3,0.98132443111289
4_2_2,4_2,0.9807127753670036
8,5_2,0.9797728965978278
5_3,2_1_4_1,0.9796426363851454
8_3_1,8_2_1_4,0.9791410122376436
8_1_1_3,3_1_4,0.9774105389499111
5_2,4_2_2,0.977264128479906
8_3,2_1_3,0.976497458579563
4_2,2_3,0.9764168644302732
8_1_1_3,3_1,0.9755717215448038
7,1_1,0.9744849070271752
7_2,1_1,0.9742217662589664
8_1_2_2,5_2,0.9740539076989512
8_2_1_4,1_1,0.9737845407236672
8,4_2,0.9727236260028088
4,2_2_3,0.9719828615344502
8_1,4_2,0.9719592382057046
4,2_2,0.9714089078362446
8_1_2_2,4_2,0.970789762807984
8_2_1_4,8_1_1_3,0.9704579708759046
8_1_1_3,5_1,0.9699661991461648
8_3_1,3_1_4,0.96882537364634
2_1_4_1,2_1_3,0.9683730162366824
5_3,2_1_3,0.967977441122914
8_2_2,4_2,0.9675175151695292
8_1_1_3,1_1,0.9671596032887384
2_1_4_3,2_1,0.9671062016275858
5_3_2,1_1,0.96710275209645
8_3,2_1,0.9668360451534544
8_3_1,3_1,0.9667023640293324
8_1_1,4_2,0.9665556610062416
