,,0
3_3,3,0.9975906463580236
3_3,1,0.988276934101158
8_1_2,8_1,0.983866538482688
8_1_2_1,8_1_2,0.973801375910832
7,1_2,0.9730544327917612
7,2_2_3,0.9580012313195868
6,3_3,0.947169034334828
8_1_2_1,8_1,0.9462601191119712
1,month,0.9457102782270624
3_1_4,3_1,0.9442279836775738
5,2_2_3,0.9432422182837916
2_1_3,2,0.9295835919648402
8_3_1,3_3,0.9285914519754368
8_2_2,3_3,0.910187808983752
3_3,month,0.9045117981100936
8_3,2_1_3,0.8985856790349518
7,3_1_4,0.8978477449849488
8_2,5_3_1,0.8972140937626394
2_2_3,1_2,0.889089609761787
8_2,2_2,0.8823065186253793
8_1_2,1,0.8781970768862664
8_1_2_1,1,0.8754249437534072
8_2,3_1_4,0.8704806764611047
8_2,3_1,0.8693691221696684
7,3_1,0.8666971022010445
8_3,3_3,0.8640664099485428
3_1,1_2,0.8639424918245339
3_1_4,1_2,0.8637378187161455
7,5,0.8551842453669315
5_3_2_3,month,0.8492812969085985
5_3,3_1_4,0.845237185988217
4,2_1,0.8443362685715003
8_1,1,0.8386474682001996
5_3_2_3,2_1_4_1,0.835101280292968
8_3,8_1,0.8257468080058151
7_3,5_3,0.8188055871029072
8_3,8_1_2,0.8179477823501862
5_2_3,month,0.8177630118479958
3_1,2_2,0.8120023420358561
5_3_2_3,3_3,0.8106947971576707
5,1_2,0.8037960819910596
8_3,8_2_2,0.7992445437883013
6,3,0.7901697852017788
5_3_2_3,4,0.7870294538663387
5_2_3,2_1_4_2,0.780960487164712
8_1_2,month,0.7701860146670183
8_1_2,3_3,0.7688515320490287
7_3,5,0.7685072884293472
8_3,2,0.76644024073377
8_1_2_1,month,0.7629769264663538
3_1_4,2_2_3,0.7624401722619802
7,5_3,0.7611183839441448
2_1_4_2,2,0.7602506356603713
5_2_3,1,0.7591250873404741
2_1_4_3,1_2,0.7566072857891218
3,2_1_4_3,0.7564396153198919
8_2,1_2,0.7552470207858589
5_3,5,0.7507638908205714
4_2,3_3,0.7503723008420023
8_2_2,8_1_2,0.7445766034704554
3_1,2_1_4_3,0.741246129045313
8_1,month,0.7368669727250919
3_1_4,2_2,0.7292641870585338
8_2_2,1,0.7237451409139101
3_3,2_1_3,0.7222222222223159
8_2,7,0.7167643763408131
7,2_1_4_3,0.7158466605496707
5_3,1_2,0.715261626924628
8_1,3_3,0.7143656394566047
5_3_2_3,1,0.7137802029969716
8_3_1,2_1_4_1,0.708342149551714
4_2,4,0.704416007268501
3_1,2_2_3,0.7041772091216517
5_3_1,3_1_4,0.7033071786896813
8_3_1,8_3,0.7021851976278758
8_3,8_1_2_1,0.6998619189787926
4,month,0.6923494970655596
8_2_2,month,0.6880739975850935
5_3_1,3_1,0.6877832350461376
5_3_2_3,2_1,0.6859267804770728
7_3,2_2_3,0.6829923057123187
5_3_1,2_2,0.6700130146673322
6,2_1_3,0.669054151274339
8_1_2_1,3_3,0.6682838587456256
8_3_1,5_3_2_3,0.6671929491282782
8_1_2,2_1_3,0.6668321908291294
6_3_1,2_2_3,0.6667002089532403
8_1,2_1_3,0.6614424255161626
5_3,3_1,0.659941484841584
8_3_1,4_2,0.6522598367980268
8_2_2,8_1,0.6513348095659718
7_3,7,0.6494075951652064
3_1_4,2_1_4_3,0.6486281736423224
8_1,5_3_2_3,0.6468090297318476
8_2,5_3,0.642507024489334
8_3_1,6,0.6399760509888641
8_2_2,5_3_2_3,0.6394196016644051
8_2_2,6_3_2,0.6390036654745596
4,2_1_4_1,0.6356779163431977
8_3_1,2_1_3,0.6356013131684569
8_2,2_2_3,0.6337685356709013
8_1,2,0.6297302346563777
8_3,2_1_4_1,0.6296299398972562
8_1_2,5_3_2_3,0.6281979145241937
5_2_3,4,0.6224988334560678
8_2_2,8_1_2_1,0.6218040668075857
8_3,1,0.6213254309370535
5,3_1_4,0.6095891934504741
2_1,month,0.6012198416629276
3_3,2_1_4_1,0.6009249676883204
7_3,1_2,0.5989163639212679
5_3_2_3,5_2_3,0.5947209122618042
3_3,2_1,0.5914014813893114
8_3,5_3_2_3,0.5912555879188128
8_3_1,8_2_2,0.5892010202651788
8_1,2_1_4_1,0.5891457756297145
2_2_3,2_2,0.5818930815916532
6_3_2,3_3,0.5786582870113307
8_1_2_1,5_2_3,0.5764088658055228
4_2,2_1,0.5751221647211094
5_3_1,5_3,0.5749766326851098
5_2_3,2_1_3,0.5734534980847853
8_1_2,5_2_3,0.5727406665927708
6_3_2,6,0.5720451048718866
5_3,2_2_3,0.5685555298809325
5_2_3,2,0.564367568082984
2_2,2_1_4_2,0.5636939589778375
2_2,1_2,0.562743079915506
8_3,month,0.5622378099891976
8_1_2_1,5_3_2_3,0.5614632022544489
8_1_2,2,0.55787341526321
8_1_2_1,2_1_3,0.5510140790533886
4,2_1_4,0.5499266813300415
8_2_2,6,0.5481075879638222
6_3_2,4_2,0.547129761498325
8_1,5_2_3,0.545709243251537
6_3_1,2_2,0.5444723289267026
2_1_4_2,2_1_3,0.5398486150185288
7,2_2,0.5381924263782211
7_3,3_1_4,0.5336913675992827
8_1_2_1,2_1_4_2,0.5309553772364007
6,2_1,0.5256863768606826
8_3,4_2,0.5256510052753267
4,2_1_4_2,0.524158146329609
8_1_2,2_1_4_1,0.5235179555834296
4,3,0.5100182366785809
5_2_3,3_3,0.5010530397886442
2_1_4_1,2_1_3,0.4995241823784856
2_1_4_1,month,0.4985353655109789
2_1_4,2_1,0.4969661818467985
4,3_3,0.4958586669829694
8_1_2_1,2,0.4954481788347044
6_3_1,2_1_4_2,0.4935239879122913
3,2,0.4876693117905527
8_1,2_1_4_2,0.480363786273518
2_2,2,0.4799036427796389
5_3_2_3,4_2,0.4789131426106771
2_2_3,2_1_4_3,0.4658474953119313
2_1_4_1,2,0.4634926135645901
8_1_2,2_1_4_2,0.4599363047310165
2_1_4_2,month,0.4564856011482181
2_1_4_2,1,0.4555310601834267
8_1_2_1,2_1_4_1,0.454159672592319
2_1_3,1,0.4538210106062305
6_3_1,1_2,0.4485973789005485
2_1_4_1,2_1,0.44857643061686
8_3,5_2_3,0.4484152660714867
8_2,2_1_4_3,0.4471695406767996
8_3_1,4,0.4428256358604195
6,2_1_4,0.4423974943363883
4,2,0.4397634215269362
8_3_1,2_1,0.4342522521604884
7_3,3_1,0.4304444061054459
8_2_2,4_2,0.4297060185952703
3_3,2,0.4279820482035221
5_3,2_1_4_3,0.4268442219400963
5_3_2_3,2_1_3,0.4265416732782885
2_1,1,0.4263825992186486
8_2,5,0.4233670694754403
8_3_1,8_1_2,0.4213051125477888
2_1_3,month,0.4184383155385788
8_3_1,8_1,0.4142537051389984
7,5_3_1,0.4085802969342237
4_2,2_1_4_1,0.4062652743575108
8_2_2,2_1,0.4020106690413857
5_2_3,2_1,0.3955514806792619
4,1,0.3943023252055311
8_2_2,2_1_4_1,0.3879575817893741
5_3_1,1_2,0.3835372319205018
5,3_1,0.378661771006578
8_2_2,2_1_3,0.377095182551923
