,index_id1,index_id2,value,index_name1,year_period1,type1,sub_type1,value_ontology1,dispersion1,index_name2,year_period2,type2,sub_type2,value_ontology2,dispersion2
25,56679,57486,0.5042690150061715,商务住宅；住宅区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6595363454012731,卫生企业数量,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.7553091957733927
32,56675,57486,0.501550367105523,商务住宅；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6045521737225233,卫生企业数量,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.7553091957733927
33,56749,57486,0.5021434435327263,交通设施服务；此类数据总个数,f,POI,交通设施服务,ValueOntology.QUANTITY,0.7511188894530397,卫生企业数量,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.7553091957733927
61,107620,63324,0.5120998101381411,每万人交通服务设施相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.7467100674218673,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
62,107476,63324,0.517385276884763,每万人宠物用品店相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.828957172585576,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
63,107594,63324,0.5301486716339543,每万人住宅区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6483893614051632,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
64,107596,63324,0.5178722699660798,每万人住宅小区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6519892089577518,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
65,107447,63324,0.503139893059248,每万人花卉市场相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5846164378224948,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
66,107588,63324,0.5110735356334349,每万人商务住宅相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.595889683436529,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
67,56496,63324,0.5161517174591466,购物服务；花鸟鱼虫市场；花卉市场；此类数据总个数,f,POI,购物服务,ValueOntology.QUANTITY,0.5905446592627831,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
68,107446,63324,0.5151375102556348,每万人花鸟鱼虫市场相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5682073472594296,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
69,107510,63324,0.5115973126676058,每万人洗浴推拿场所相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5828596874580462,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
70,56681,63324,0.5314210754916007,商务住宅；住宅区；住宅小区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6632209889635508,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
71,107511,63324,0.5111835838616725,每万人洗衣店相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6186311204068546,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
77,56679,63324,0.5437763167547297,商务住宅；住宅区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6595363454012731,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
78,56747,63324,0.5011342146220881,科教文化服务；培训机构；此类数据总个数,f,POI,科教文化服务,ValueOntology.QUANTITY,0.688974419769711,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
84,56780,63324,0.5194668508642927,交通设施服务；停车场；公共停车场；此类数据总个数,f,POI,交通设施服务,ValueOntology.QUANTITY,0.7991898879135911,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
85,56675,63324,0.5385407644153545,商务住宅；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6045521737225233,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
86,56749,63324,0.5317506415359524,交通设施服务；此类数据总个数,f,POI,交通设施服务,ValueOntology.QUANTITY,0.7511188894530397,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
87,54208,63324,0.5227734605856882,生活服务；洗浴推拿场所；此类数据总个数,f,POI,生活服务,ValueOntology.QUANTITY,0.600217078364899,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
88,54209,63324,0.5080442742324043,体育休闲服务；运动场馆；此类数据总个数,f,POI,体育休闲服务,ValueOntology.QUANTITY,0.607871787733126,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
93,56495,63324,0.529128853271459,购物服务；花鸟鱼虫市场；此类数据总个数,f,POI,购物服务,ValueOntology.QUANTITY,0.5825366802986458,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
95,56587,63324,0.5148704484859707,体育休闲服务；此类数据总个数,f,POI,体育休闲服务,ValueOntology.QUANTITY,0.5023983482252984,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
96,56531,63324,0.5152435295544958,购物服务；专卖店；宠物用品店；此类数据总个数,f,POI,购物服务,ValueOntology.QUANTITY,0.8554284953103735,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
97,42597,63324,0.5034121588900697,交通设施服务；停车场；此类数据总个数,f,POI,交通设施服务,ValueOntology.QUANTITY,0.8172561660303755,卫生和社会工作企业数量（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.QUANTITY,0.6846199590591383
117,107620,70595,0.5121005856411275,每万人交通服务设施相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.7467100674218673,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
118,107476,70595,0.5173844294486851,每万人宠物用品店相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.828957172585576,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
119,107594,70595,0.5301501761816484,每万人住宅区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6483893614051632,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
120,107596,70595,0.5178736057026284,每万人住宅小区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6519892089577518,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
121,107447,70595,0.5031392968703573,每万人花卉市场相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5846164378224948,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
122,107588,70595,0.5110742445610703,每万人商务住宅相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.595889683436529,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
123,56496,70595,0.516151099409751,购物服务；花鸟鱼虫市场；花卉市场；此类数据总个数,f,POI,购物服务,ValueOntology.QUANTITY,0.5905446592627831,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
124,107446,70595,0.5151373371154124,每万人花鸟鱼虫市场相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5682073472594296,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
125,107510,70595,0.511596539150819,每万人洗浴推拿场所相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5828596874580462,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
126,56681,70595,0.5314222559072495,商务住宅；住宅区；住宅小区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6632209889635508,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
127,107511,70595,0.5111840948360475,每万人洗衣店相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6186311204068546,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
133,56679,70595,0.543777661206251,商务住宅；住宅区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6595363454012731,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
134,56747,70595,0.5011340498643017,科教文化服务；培训机构；此类数据总个数,f,POI,科教文化服务,ValueOntology.QUANTITY,0.688974419769711,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
140,56780,70595,0.5194685018110557,交通设施服务；停车场；公共停车场；此类数据总个数,f,POI,交通设施服务,ValueOntology.QUANTITY,0.7991898879135911,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
141,56675,70595,0.5385414400192549,商务住宅；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6045521737225233,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
142,56749,70595,0.5317513876722415,交通设施服务；此类数据总个数,f,POI,交通设施服务,ValueOntology.QUANTITY,0.7511188894530397,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
143,54208,70595,0.522772387009248,生活服务；洗浴推拿场所；此类数据总个数,f,POI,生活服务,ValueOntology.QUANTITY,0.600217078364899,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
144,54209,70595,0.5080443327242077,体育休闲服务；运动场馆；此类数据总个数,f,POI,体育休闲服务,ValueOntology.QUANTITY,0.607871787733126,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
149,56495,70595,0.5291285119628034,购物服务；花鸟鱼虫市场；此类数据总个数,f,POI,购物服务,ValueOntology.QUANTITY,0.5825366802986458,卫生和社会工作企业数量全国占比（大类）,t,行业（企业）,卫生和社会工作,ValueOntology.PROPORTION_OF_NATION,0.6846180851647026
