,index_id1,index_id2,value,index_name1,year_period1,type1,sub_type1,value_ontology1,dispersion1,index_name2,year_period2,type2,sub_type2,value_ontology2,dispersion2
522,139817,57394,0.5021999941499303,专用设备制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.7352630501193994,专用设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8695502076212598
533,107589,57394,0.5071711359073544,每万人产业园区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6858873972257653,专用设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8695502076212598
535,56747,57394,0.5073465523547002,科教文化服务；培训机构；此类数据总个数,f,POI,科教文化服务,ValueOntology.QUANTITY,0.6074709288676099,专用设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8695502076212598
537,139977,57394,0.5021977964184697,专用设备制造业个体工商户数量全国占比,t,行业（个体工商户）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7352396795118123,专用设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8695502076212598
546,42583,57394,0.5287989104418469,商务住宅；产业园区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6834418999402193,专用设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8695502076212598
552,139817,110831,0.5022024048982239,专用设备制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.7352630501193994,专用设备制造业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.8695452350620552
557,107589,110831,0.5071681538390476,每万人产业园区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6858873972257653,专用设备制造业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.8695452350620552
559,56747,110831,0.5073456160858515,科教文化服务；培训机构；此类数据总个数,f,POI,科教文化服务,ValueOntology.QUANTITY,0.6074709288676099,专用设备制造业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.8695452350620552
560,139977,110831,0.502200207128064,专用设备制造业个体工商户数量全国占比,t,行业（个体工商户）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7352396795118123,专用设备制造业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.8695452350620552
564,42583,110831,0.5287961537888285,商务住宅；产业园区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6834418999402193,专用设备制造业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.8695452350620552
573,42583,110828,0.5025168690586092,商务住宅；产业园区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6834418999402193,通用设备制造业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.9984633620821084
590,42583,57392,0.5025198731160769,商务住宅；产业园区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6834418999402193,通用设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.998477894828621
604,107589,57188,0.5393717773447659,每万人产业园区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6858873972257653,电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8637605259801839
616,42583,57188,0.5460904208602085,商务住宅；产业园区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6834418999402193,电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8637605259801839
638,107589,70598,0.5383737582363599,每万人产业园区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6858873972257653,制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.6157463543055112
640,107640,70598,0.5571535956816983,每万人工厂相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5119255896873555,制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.6157463543055112
647,72046,70598,0.5690043311966756,公司企业；工厂；此类数据总个数,f,POI,公司企业,ValueOntology.QUANTITY,0.5182290998746653,制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.6157463543055112
648,42583,70598,0.554600108662192,商务住宅；产业园区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6834418999402193,制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.6157463543055112
670,107589,63297,0.5383736293835671,每万人产业园区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6858873972257653,制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.6157469581953674
672,107640,63297,0.5571536371605245,每万人工厂相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5119255896873555,制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.6157469581953674
680,72046,63297,0.5690040098379398,公司企业；工厂；此类数据总个数,f,POI,公司企业,ValueOntology.QUANTITY,0.5182290998746653,制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.6157469581953674
681,42583,63297,0.5545998014762357,商务住宅；产业园区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6834418999402193,制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.6157469581953674
808,107618,63299,0.509746649692809,每万人培训机构相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5939164216346238,建筑业企业数量（大类）,t,行业（企业）,建筑业,ValueOntology.QUANTITY,0.5770708477654114
816,56747,63299,0.5116896376426671,科教文化服务；培训机构；此类数据总个数,f,POI,科教文化服务,ValueOntology.QUANTITY,0.6074709288676099,建筑业企业数量（大类）,t,行业（企业）,建筑业,ValueOntology.QUANTITY,0.5770708477654114
827,56675,63299,0.5072473922804975,商务住宅；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.521814900517872,建筑业企业数量（大类）,t,行业（企业）,建筑业,ValueOntology.QUANTITY,0.5770708477654114
832,56749,63299,0.5020060327314063,交通设施服务；此类数据总个数,f,POI,交通设施服务,ValueOntology.QUANTITY,0.6357322664345814,建筑业企业数量（大类）,t,行业（企业）,建筑业,ValueOntology.QUANTITY,0.5770708477654114
880,107618,70586,0.509745716981597,每万人培训机构相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5939164216346238,建筑业企业数量全国占比（大类）,t,行业（企业）,建筑业,ValueOntology.PROPORTION_OF_NATION,0.5770708843530687
886,56747,70586,0.5116887331281833,科教文化服务；培训机构；此类数据总个数,f,POI,科教文化服务,ValueOntology.QUANTITY,0.6074709288676099,建筑业企业数量全国占比（大类）,t,行业（企业）,建筑业,ValueOntology.PROPORTION_OF_NATION,0.5770708843530687
894,56675,70586,0.507248158318402,商务住宅；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.521814900517872,建筑业企业数量全国占比（大类）,t,行业（企业）,建筑业,ValueOntology.PROPORTION_OF_NATION,0.5770708843530687
899,56749,70586,0.5020066260888342,交通设施服务；此类数据总个数,f,POI,交通设施服务,ValueOntology.QUANTITY,0.6357322664345814,建筑业企业数量全国占比（大类）,t,行业（企业）,建筑业,ValueOntology.PROPORTION_OF_NATION,0.5770708843530687
1199,107596,57409,0.5101527469117589,每万人住宅小区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5908246136529456,建筑安装业企业数量,t,行业（企业）,建筑业,ValueOntology.QUANTITY,0.7401187432072744
1200,107594,57409,0.5041328354376639,每万人住宅区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5708593994799167,建筑安装业企业数量,t,行业（企业）,建筑业,ValueOntology.QUANTITY,0.7401187432072744
1201,107618,57409,0.5762031414716314,每万人培训机构相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5939164216346238,建筑安装业企业数量,t,行业（企业）,建筑业,ValueOntology.QUANTITY,0.7401187432072744
1202,107588,57409,0.504292899510458,每万人商务住宅相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.515003360467985,建筑安装业企业数量,t,行业（企业）,建筑业,ValueOntology.QUANTITY,0.7401187432072744
1203,56681,57409,0.5238716027385297,商务住宅；住宅区；住宅小区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.5944275082248845,建筑安装业企业数量,t,行业（企业）,建筑业,ValueOntology.QUANTITY,0.7401187432072744
1207,56679,57409,0.5221648804060445,商务住宅；住宅区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.5825338814367192,建筑安装业企业数量,t,行业（企业）,建筑业,ValueOntology.QUANTITY,0.7401187432072744
1211,56747,57409,0.5849879652301946,科教文化服务；培训机构；此类数据总个数,f,POI,科教文化服务,ValueOntology.QUANTITY,0.6074709288676099,建筑安装业企业数量,t,行业（企业）,建筑业,ValueOntology.QUANTITY,0.7401187432072744
1224,56675,57409,0.531274172705102,商务住宅；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.521814900517872,建筑安装业企业数量,t,行业（企业）,建筑业,ValueOntology.QUANTITY,0.7401187432072744
1227,54209,57409,0.5155849357394983,体育休闲服务；运动场馆；此类数据总个数,f,POI,体育休闲服务,ValueOntology.QUANTITY,0.5127652514545197,建筑安装业企业数量,t,行业（企业）,建筑业,ValueOntology.QUANTITY,0.7401187432072744
1611,107620,57353,0.520119534296206,每万人交通服务设施相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6269910130749801,注册资本1000-5000万企业数量,t,行业（企业）,注册资本,ValueOntology.QUANTITY,0.5156709149071279
1613,107588,57353,0.5279467590043023,每万人商务住宅相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.515003360467985,注册资本1000-5000万企业数量,t,行业（企业）,注册资本,ValueOntology.QUANTITY,0.5156709149071279
1615,107519,57353,0.5030155379815486,每万人运动场所相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5062903206374395,注册资本1000-5000万企业数量,t,行业（企业）,注册资本,ValueOntology.QUANTITY,0.5156709149071279
1649,56675,57353,0.5410921812089504,商务住宅；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.521814900517872,注册资本1000-5000万企业数量,t,行业（企业）,注册资本,ValueOntology.QUANTITY,0.5156709149071279
1656,54209,57353,0.5142316498021523,体育休闲服务；运动场馆；此类数据总个数,f,POI,体育休闲服务,ValueOntology.QUANTITY,0.5127652514545197,注册资本1000-5000万企业数量,t,行业（企业）,注册资本,ValueOntology.QUANTITY,0.5156709149071279
1660,56749,57353,0.526832187668285,交通设施服务；此类数据总个数,f,POI,交通设施服务,ValueOntology.QUANTITY,0.6357322664345814,注册资本1000-5000万企业数量,t,行业（企业）,注册资本,ValueOntology.QUANTITY,0.5156709149071279
1676,42583,57353,0.5002313983565717,商务住宅；产业园区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6834418999402193,注册资本1000-5000万企业数量,t,行业（企业）,注册资本,ValueOntology.QUANTITY,0.5156709149071279
1990,140013,57460,0.5422453242962896,商务服务业个体工商户数量全国占比,t,行业（个体工商户）,租赁和商务服务业,ValueOntology.PROPORTION_OF_NATION,0.5353214401121428,专业技术服务业企业数量,t,行业（企业）,科学研究和技术服务业,ValueOntology.QUANTITY,0.6271548862182283
2006,107629,57460,0.5046231728255034,每万人停车场相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6574243120781502,专业技术服务业企业数量,t,行业（企业）,科学研究和技术服务业,ValueOntology.QUANTITY,0.6271548862182283
2007,107512,57460,0.5099346756462734,每万人中介机构相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.686813725217967,专业技术服务业企业数量,t,行业（企业）,科学研究和技术服务业,ValueOntology.QUANTITY,0.6271548862182283
2008,107620,57460,0.5465699487480105,每万人交通服务设施相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6269910130749801,专业技术服务业企业数量,t,行业（企业）,科学研究和技术服务业,ValueOntology.QUANTITY,0.6271548862182283
2010,107398,57460,0.5052175903155987,每万人外国餐厅相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.612319721885417,专业技术服务业企业数量,t,行业（企业）,科学研究和技术服务业,ValueOntology.QUANTITY,0.6271548862182283
2011,107588,57460,0.5270111541396065,每万人商务住宅相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.515003360467985,专业技术服务业企业数量,t,行业（企业）,科学研究和技术服务业,ValueOntology.QUANTITY,0.6271548862182283
2031,56675,57460,0.5361249341919986,商务住宅；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.521814900517872,专业技术服务业企业数量,t,行业（企业）,科学研究和技术服务业,ValueOntology.QUANTITY,0.6271548862182283
2037,56749,57460,0.5572753163620873,交通设施服务；此类数据总个数,f,POI,交通设施服务,ValueOntology.QUANTITY,0.6357322664345814,专业技术服务业企业数量,t,行业（企业）,科学研究和技术服务业,ValueOntology.QUANTITY,0.6271548862182283
2047,56577,57460,0.5058800280266982,生活服务；中介机构；此类数据总个数,f,POI,生活服务,ValueOntology.QUANTITY,0.691605754297566,专业技术服务业企业数量,t,行业（企业）,科学研究和技术服务业,ValueOntology.QUANTITY,0.6271548862182283
2049,139846,57460,0.5422407894713213,商务服务业个体工商户数量,t,行业（个体工商户）,租赁和商务服务业,ValueOntology.QUANTITY,0.5353222629207132,专业技术服务业企业数量,t,行业（企业）,科学研究和技术服务业,ValueOntology.QUANTITY,0.6271548862182283
2050,42597,57460,0.5237700225205659,交通设施服务；停车场；此类数据总个数,f,POI,交通设施服务,ValueOntology.QUANTITY,0.6567023812197442,专业技术服务业企业数量,t,行业（企业）,科学研究和技术服务业,ValueOntology.QUANTITY,0.6271548862182283
2119,54209,140469,0.5076967202657886,体育休闲服务；运动场馆；此类数据总个数,f,POI,体育休闲服务,ValueOntology.QUANTITY,0.5127652514545197,本年度新增注册居民服务、修理和其他服务业企业数量（大类）,t,行业（企业）,居民服务、修理和其他服务业,ValueOntology.DIFF_QUANTITY,0.6098145515906125
2143,54209,140503,0.5076965947211302,体育休闲服务；运动场馆；此类数据总个数,f,POI,体育休闲服务,ValueOntology.QUANTITY,0.5127652514545197,本年度新增注册居民服务、修理和其他服务业企业数量全国占比（大类）,t,行业（企业）,居民服务、修理和其他服务业,ValueOntology.PROPORTION_OF_NATION,0.6098153458942779
2221,107512,140499,0.5585284988787049,每万人中介机构相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.686813725217967,本年度新增注册科学研究和技术服务业企业数量全国占比（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.PROPORTION_OF_NATION,0.7169955299401713
2222,107620,140499,0.5256458669681627,每万人交通服务设施相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6269910130749801,本年度新增注册科学研究和技术服务业企业数量全国占比（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.PROPORTION_OF_NATION,0.7169955299401713
2224,107527,140499,0.5062541303916251,每万人健身中心相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6027990174986129,本年度新增注册科学研究和技术服务业企业数量全国占比（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.PROPORTION_OF_NATION,0.7169955299401713
2225,107594,140499,0.504400841277342,每万人住宅区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5708593994799167,本年度新增注册科学研究和技术服务业企业数量全国占比（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.PROPORTION_OF_NATION,0.7169955299401713
2226,107588,140499,0.5483913474725743,每万人商务住宅相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.515003360467985,本年度新增注册科学研究和技术服务业企业数量全国占比（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.PROPORTION_OF_NATION,0.7169955299401713
2228,107519,140499,0.5224172828972137,每万人运动场所相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5062903206374395,本年度新增注册科学研究和技术服务业企业数量全国占比（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.PROPORTION_OF_NATION,0.7169955299401713
2231,56679,140499,0.5034951761575179,商务住宅；住宅区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.5825338814367192,本年度新增注册科学研究和技术服务业企业数量全国占比（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.PROPORTION_OF_NATION,0.7169955299401713
2241,56675,140499,0.5571930214064416,商务住宅；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.521814900517872,本年度新增注册科学研究和技术服务业企业数量全国占比（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.PROPORTION_OF_NATION,0.7169955299401713
2243,56598,140499,0.5083372326197534,体育休闲服务；运动场馆；健身中心；此类数据总个数,f,POI,体育休闲服务,ValueOntology.QUANTITY,0.6066655913236727,本年度新增注册科学研究和技术服务业企业数量全国占比（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.PROPORTION_OF_NATION,0.7169955299401713
2244,54209,140499,0.5207583032154215,体育休闲服务；运动场馆；此类数据总个数,f,POI,体育休闲服务,ValueOntology.QUANTITY,0.5127652514545197,本年度新增注册科学研究和技术服务业企业数量全国占比（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.PROPORTION_OF_NATION,0.7169955299401713
2246,56749,140499,0.5372489607691594,交通设施服务；此类数据总个数,f,POI,交通设施服务,ValueOntology.QUANTITY,0.6357322664345814,本年度新增注册科学研究和技术服务业企业数量全国占比（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.PROPORTION_OF_NATION,0.7169955299401713
2249,56577,140499,0.5493294014802461,生活服务；中介机构；此类数据总个数,f,POI,生活服务,ValueOntology.QUANTITY,0.691605754297566,本年度新增注册科学研究和技术服务业企业数量全国占比（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.PROPORTION_OF_NATION,0.7169955299401713
2275,107512,140467,0.5585278440785092,每万人中介机构相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.686813725217967,本年度新增注册科学研究和技术服务业企业数量（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.DIFF_QUANTITY,0.716996500474322
2276,107620,140467,0.5256454916854093,每万人交通服务设施相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6269910130749801,本年度新增注册科学研究和技术服务业企业数量（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.DIFF_QUANTITY,0.716996500474322
2278,107527,140467,0.5062561255524818,每万人健身中心相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6027990174986129,本年度新增注册科学研究和技术服务业企业数量（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.DIFF_QUANTITY,0.716996500474322
2279,107594,140467,0.5044052930496028,每万人住宅区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5708593994799167,本年度新增注册科学研究和技术服务业企业数量（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.DIFF_QUANTITY,0.716996500474322
2280,107588,140467,0.5483957465431167,每万人商务住宅相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.515003360467985,本年度新增注册科学研究和技术服务业企业数量（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.DIFF_QUANTITY,0.716996500474322
2282,107519,140467,0.5224159720894246,每万人运动场所相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5062903206374395,本年度新增注册科学研究和技术服务业企业数量（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.DIFF_QUANTITY,0.716996500474322
2285,56679,140467,0.5034990983104294,商务住宅；住宅区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.5825338814367192,本年度新增注册科学研究和技术服务业企业数量（大类）,t,行业（企业）,科学研究和技术服务业,ValueOntology.DIFF_QUANTITY,0.716996500474322
