,index_id1,index_id2,value,index_name1,year_period1,type1,sub_type1,value_ontology1,dispersion1,index_name2,year_period2,type2,sub_type2,value_ontology2,dispersion2
23,107629,57497,0.5047921096745601,每万人停车场相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.7238139108983997,体育企业数量,t,行业（企业）,文化、体育和娱乐业,ValueOntology.QUANTITY,0.7389632787815494
24,107620,57497,0.5116290461561575,每万人交通服务设施相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.710511523685383,体育企业数量,t,行业（企业）,文化、体育和娱乐业,ValueOntology.QUANTITY,0.7389632787815494
27,107588,57497,0.5175040772959917,每万人商务住宅相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5482675036377752,体育企业数量,t,行业（企业）,文化、体育和娱乐业,ValueOntology.QUANTITY,0.7389632787815494
40,56675,57497,0.515982718257006,商务住宅；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.5571635936821533,体育企业数量,t,行业（企业）,文化、体育和娱乐业,ValueOntology.QUANTITY,0.7389632787815494
41,56749,57497,0.5159448825792607,交通设施服务；此类数据总个数,f,POI,交通设施服务,ValueOntology.QUANTITY,0.7183688186949125,体育企业数量,t,行业（企业）,文化、体育和娱乐业,ValueOntology.QUANTITY,0.7389632787815494
49,42597,57497,0.5084908820967091,交通设施服务；停车场；此类数据总个数,f,POI,交通设施服务,ValueOntology.QUANTITY,0.7319111045591026,体育企业数量,t,行业（企业）,文化、体育和娱乐业,ValueOntology.QUANTITY,0.7389632787815494
87,107629,70596,0.5193972675395145,每万人停车场相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.7238139108983997,文化、体育和娱乐业企业数量全国占比（大类）,t,行业（企业）,文化、体育和娱乐业,ValueOntology.PROPORTION_OF_NATION,0.6124305822587267
88,107620,70596,0.5511130091915369,每万人交通服务设施相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.710511523685383,文化、体育和娱乐业企业数量全国占比（大类）,t,行业（企业）,文化、体育和娱乐业,ValueOntology.PROPORTION_OF_NATION,0.6124305822587267
90,107527,70596,0.5105835893776343,每万人健身中心相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6597900897448058,文化、体育和娱乐业企业数量全国占比（大类）,t,行业（企业）,文化、体育和娱乐业,ValueOntology.PROPORTION_OF_NATION,0.6124305822587267
91,56681,70596,0.5328830327769731,商务住宅；住宅区；住宅小区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6377091623055495,文化、体育和娱乐业企业数量全国占比（大类）,t,行业（企业）,文化、体育和娱乐业,ValueOntology.PROPORTION_OF_NATION,0.6124305822587267
