,index_id1,index_id2,value,index_name1,year_period1,type1,sub_type1,value_ontology1,dispersion1,index_name2,year_period2,type2,sub_type2,value_ontology2,dispersion2
12,139893,139788.0,0.5604018478348147,专用设备制造业个体工商户数量占比,t,行业（个体工商户）,制造业,ValueOntology.PERCENTAGE,0.6424598028822319,本年度吊销汽车制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,1.3811128195454554
13,139887,139788.0,0.5049613976791466,橡胶和塑料制品业个体工商户数量占比,t,行业（个体工商户）,制造业,ValueOntology.PERCENTAGE,0.6656576712643825,本年度吊销汽车制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,1.3811128195454554
40,138987,57247.0,0.6253073545878322,纺织业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.8871955054385274,造纸和纸制品业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.8060014297293603
42,107551,57247.0,-0.5321831272263408,每万人整形美容相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.8786139009689263,造纸和纸制品业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.8060014297293603
43,107492,57247.0,0.6538276585835407,每万人物流仓储场地相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.7626121040164986,造纸和纸制品业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.8060014297293603
44,107550,57247.0,-0.5629836673357403,每万人专科医院相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.513075058195324,造纸和纸制品业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.8060014297293603
45,107640,57247.0,0.7524627004886842,每万人工厂相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6847416262479803,造纸和纸制品业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.8060014297293603
74,111792,57247.0,0.5809315346638463,近2年物流仓储场地相关兴趣点数量增长,t,POI,近2年兴趣点数量增长,ValueOntology.DIFF_QUANTITY,0.8115482393136583,造纸和纸制品业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.8060014297293603
89,56632,57247.0,-0.5643529786655274,医疗保健服务；专科医院；此类数据总个数,f,POI,医疗保健服务,ValueOntology.QUANTITY,0.5133771715383586,造纸和纸制品业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.8060014297293603
92,72046,57247.0,0.7524457932497196,公司企业；工厂；此类数据总个数,f,POI,公司企业,ValueOntology.QUANTITY,0.6842160531805269,造纸和纸制品业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.8060014297293603
93,56633,57247.0,-0.5325925167493177,医疗保健服务；专科医院；整形美容；此类数据总个数,f,POI,医疗保健服务,ValueOntology.QUANTITY,0.8793446723566971,造纸和纸制品业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.8060014297293603
104,56553,57247.0,0.651786423774999,生活服务；物流速递；物流仓储场地；此类数据总个数,f,POI,生活服务,ValueOntology.QUANTITY,0.7632481879583178,造纸和纸制品业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.8060014297293603
107,139887,57247.0,0.50102783128427,橡胶和塑料制品业个体工商户数量占比,t,行业（个体工商户）,制造业,ValueOntology.PERCENTAGE,0.6656576712643825,造纸和纸制品业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.8060014297293603
108,139527,57247.0,0.6669829807547797,纺织业个体工商户数量占比,t,行业（个体工商户）,制造业,ValueOntology.PERCENTAGE,0.7715490245249765,造纸和纸制品业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.8060014297293603
110,139959,57247.0,0.6253044901495226,纺织业个体工商户数量全国占比,t,行业（个体工商户）,制造业,ValueOntology.PROPORTION_OF_NATION,0.8871954557259673,造纸和纸制品业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.8060014297293603
111,60707,57247.0,0.546368955864511,第二产业增加值(根据产业占比计算),t,经济,,ValueOntology.DIFF_QUANTITY,0.6026484068494552,造纸和纸制品业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.8060014297293603
113,141503,57247.0,0.5237697256777057,本年度新增注册其他制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.DIFF_QUANTITY,1.2149249883113835,造纸和纸制品业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.8060014297293603
297,139804,140539.0,0.5845134494554843,造纸和纸制品业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.967750432442399,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
298,139815,140539.0,0.597178048440484,金属制品业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.7579533283199028,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
299,139800,140539.0,0.5585300549155935,纺织服装、服饰业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.7392801041652418,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
300,138987,140539.0,0.5220671794097325,纺织业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.8871955054385274,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
303,139820,140539.0,0.5227958829168472,电气机械和器材制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.8674011921160828,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
304,139816,140539.0,0.5060301645561927,通用设备制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.8754293297979806,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
305,139817,140539.0,0.6057595970691947,专用设备制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.8031208844279445,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
306,139811,140539.0,0.5084915331514045,橡胶和塑料制品业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.7503159546195283,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
