,index_id1,index_id2,value,index_name1,year_period1,type1,sub_type1,value_ontology1,dispersion1,index_name2,year_period2,type2,sub_type2,value_ontology2,dispersion2
26,110843,60864.0,0.5779145232803092,计算机、通信和其他电子设备制造业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.6625922832020765,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
27,70597,60864.0,0.584898997876863,信息传输、软件和信息技术服务业企业数量全国占比（大类）,t,行业（企业）,信息传输、软件和信息技术服务业,ValueOntology.PROPORTION_OF_NATION,0.6870973166779777,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
28,110918,60864.0,0.5732068358207943,互联网和相关服务企业数量全国占比,t,行业（企业）,信息传输、软件和信息技术服务业,ValueOntology.PROPORTION_OF_NATION,0.6952640541733751,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
29,140565,60864.0,0.5949235454713538,本年度注销教育企业数量全国占比（大类）,t,行业（企业）,教育,ValueOntology.PROPORTION_OF_NATION,0.8515340644054777,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
30,140190,60864.0,0.6545023243268312,本年度注销互联网和相关服务企业数量全国占比,t,行业（企业）,信息传输、软件和信息技术服务业,ValueOntology.PROPORTION_OF_NATION,0.6897601161081012,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
31,110846,60864.0,0.5112826490008532,仪器仪表制造业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.623791906270208,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
32,70588,60864.0,0.5302573740761569,教育企业数量全国占比（大类）,t,行业（企业）,教育,ValueOntology.PROPORTION_OF_NATION,0.6231110715314194,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
33,140150,60864.0,0.5115411543530687,本年度注销文教、工美、体育和娱乐用品制造业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.8286618540989829,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
37,63312,60864.0,0.5848989555810015,信息传输、软件和信息技术服务业企业数量（大类）,t,行业（企业）,信息传输、软件和信息技术服务业,ValueOntology.QUANTITY,0.687097392887212,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
38,91791,60864.0,0.5103631667452376,专利授权总量(年度),t,专利,授权量,ValueOntology.QUANTITY,0.5831756621407748,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
39,91793,60864.0,0.5093798683041334,机构专利授权量(年度),t,专利,授权量,ValueOntology.QUANTITY,0.5867535933017932,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
43,107710,60864.0,0.5129569856283601,每万人信息传输、软件和信息技术服务业企业数量（大类）,t,行业（企业）,信息传输、软件和信息技术服务业,ValueOntology.QUANTITY_PER_CAPITA,0.6956624331526984,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
55,140566,60864.0,0.5173639757815567,本年度注销教育企业数量占比（大类）,t,行业（企业）,教育,ValueOntology.PERCENTAGE,0.9050973685687967,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
57,140104,60864.0,0.5744681255147386,本年度注销互联网和相关服务企业数量占比,t,行业（企业）,信息传输、软件和信息技术服务业,ValueOntology.PERCENTAGE,0.5597041804620457,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
59,70630,60864.0,0.5289358331067353,互联网和相关服务企业数量占比,t,行业（企业）,信息传输、软件和信息技术服务业,ValueOntology.PERCENTAGE,0.5435000287187072,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
61,138953,60864.0,0.6545025628562683,本年度注销互联网和相关服务企业数量,t,行业（企业）,信息传输、软件和信息技术服务业,ValueOntology.QUANTITY,0.6897603378554287,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
65,140530,60864.0,0.5949239326381536,本年度注销教育企业数量（大类）,t,行业（企业）,教育,ValueOntology.QUANTITY,0.8515344081757149,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
69,138872,60864.0,0.5115408971929355,本年度注销文教、工美、体育和娱乐用品制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8286586525453101,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
70,63323,60864.0,0.5302571501734179,教育企业数量（大类）,t,行业（企业）,教育,ValueOntology.QUANTITY,0.6231114344216869,软硬件技术产业企业数量,t,创新产业（企业）,信息技术产业,ValueOntology.QUANTITY,0.7501054651190623
74,110876,60784.0,0.5048142658941671,建筑装饰、装修和其他建筑业企业数量全国占比,t,行业（企业）,建筑业,ValueOntology.PROPORTION_OF_NATION,0.5168069684821425,汽车产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.6701726291696597
75,141399,60784.0,0.6112914968307034,本年度新增注册有色金属冶炼和压延加工业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,1.2134470406289222,汽车产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.6701726291696597
76,141403,60784.0,0.5619068782138235,本年度新增注册汽车制造业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.967347919682091,汽车产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.6701726291696597
77,141402,60784.0,0.5507581999716212,本年度新增注册专用设备制造业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.9381287944696576,汽车产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.6701726291696597
78,141406,60784.0,0.6285226443810296,本年度新增注册计算机、通信和其他电子设备制造业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,1.0810840667883816,汽车产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.6701726291696597
