,index_id1,index_id2,value,index_name1,year_period1,type1,sub_type1,value_ontology1,dispersion1,index_name2,year_period2,type2,sub_type2,value_ontology2,dispersion2
1,141464,140228.0,0.5400892555662077,本年度新增注册林业个体工商户数量,t,行业（个体工商户）,农、林、牧、渔业,ValueOntology.DIFF_QUANTITY,1.4239432624677633,本年度吊销农副食品加工业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,1.13420512941273
21,139817,138921.0,0.603257502812189,专用设备制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,1.0096095738908994,本年度注销电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8177766257904545
22,139820,138921.0,0.5791447827676282,电气机械和器材制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.8190264920406988,本年度注销电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8177766257904545
23,107589,138921.0,0.5928017350195403,每万人产业园区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5730579593533257,本年度注销电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8177766257904545
36,139977,138921.0,0.6032590653736633,专用设备制造业个体工商户数量全国占比,t,行业（个体工商户）,制造业,ValueOntology.PROPORTION_OF_NATION,1.0096069851585874,本年度注销电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8177766257904545
41,149668,138921.0,0.5373791400124623,每万人专用设备制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY_PER_CAPITA,1.037310814545212,本年度注销电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8177766257904545
42,139980,138921.0,0.579143859909084,电气机械和器材制造业个体工商户数量全国占比,t,行业（个体工商户）,制造业,ValueOntology.PROPORTION_OF_NATION,0.8190251936359797,本年度注销电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8177766257904545
49,139893,138921.0,0.6527131749667313,专用设备制造业个体工商户数量占比,t,行业（个体工商户）,制造业,ValueOntology.PERCENTAGE,0.8866806054228593,本年度注销电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8177766257904545
55,110008,138921.0,0.5942286428570541,近2年工厂相关兴趣点数量增长,t,POI,近2年兴趣点数量增长,ValueOntology.DIFF_QUANTITY,1.146893489552726,本年度注销电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8177766257904545
62,42583,138921.0,0.5922261972892856,商务住宅；产业园区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.5720865887245427,本年度注销电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8177766257904545
64,140776,138921.0,0.5014481778707692,本年度注销汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.9123929237487844,本年度注销电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8177766257904545
84,139816,140083.0,0.6628811214122203,通用设备制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.9467801668777132,本年度注销电气机械和器材制造业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.7883369637987873
86,139815,140083.0,0.5865096377970982,金属制品业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.8597647435205542,本年度注销电气机械和器材制造业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.7883369637987873
