,index_id1,index_id2,value,index_name1,year_period1,type1,sub_type1,value_ontology1,dispersion1,index_name2,year_period2,type2,sub_type2,value_ontology2,dispersion2
3,71950,57388.0,0.5295020284352887,制造业企业数量全国占比（大类）（上市）,t,行业（上市企业）,制造业（上市）,ValueOntology.PROPORTION_OF_NATION,0.8235311403766101,化学纤维制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.9859127926811068
23,139810,57388.0,0.5243001555045993,化学纤维制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,1.318934198447562,化学纤维制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.9859127926811068
28,139814,57388.0,0.514248515446341,有色金属冶炼和压延加工业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.7751241290101616,化学纤维制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.9859127926811068
29,139830,57388.0,0.5461721635381402,土木工程建筑业个体工商户数量,t,行业（个体工商户）,建筑业,ValueOntology.QUANTITY,0.8738979176761783,化学纤维制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.9859127926811068
30,107640,57388.0,0.5619812281302414,每万人工厂相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.7317408874597882,化学纤维制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.9859127926811068
41,149665,57388.0,0.5018518540382036,每万人有色金属冶炼和压延加工业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY_PER_CAPITA,0.8101797522479571,化学纤维制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.9859127926811068
57,139970,57388.0,0.5242993422788557,化学纤维制造业个体工商户数量全国占比,t,行业（个体工商户）,制造业,ValueOntology.PROPORTION_OF_NATION,1.3189317290343698,化学纤维制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.9859127926811068
67,72046,57388.0,0.557188470770375,公司企业；工厂；此类数据总个数,f,POI,公司企业,ValueOntology.QUANTITY,0.7625569376149701,化学纤维制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.9859127926811068
74,139974,57388.0,0.5142512955604732,有色金属冶炼和压延加工业个体工商户数量全国占比,t,行业（个体工商户）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7751268821156768,化学纤维制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.9859127926811068
75,139990,57388.0,0.546171864314393,土木工程建筑业个体工商户数量全国占比,t,行业（个体工商户）,建筑业,ValueOntology.PROPORTION_OF_NATION,0.8738982146078302,化学纤维制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.9859127926811068
79,139893,57388.0,0.5617675551680887,专用设备制造业个体工商户数量占比,t,行业（个体工商户）,制造业,ValueOntology.PERCENTAGE,0.8716204079882747,化学纤维制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.9859127926811068
84,139906,57388.0,0.584456119163513,土木工程建筑业个体工商户数量占比,t,行业（个体工商户）,建筑业,ValueOntology.PERCENTAGE,1.0374663074222592,化学纤维制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.9859127926811068
85,71946,57388.0,0.5295021479795329,制造业企业数量（大类）（上市）,t,行业（上市企业）,制造业（上市）,ValueOntology.QUANTITY,0.823532009068358,化学纤维制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.9859127926811068
87,111844,57388.0,0.5579824889265503,近2年自来水营业厅相关兴趣点数量增长,t,POI,近2年兴趣点数量增长,ValueOntology.DIFF_QUANTITY,0.8651385886843673,化学纤维制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.9859127926811068
105,139810,57253.0,0.585051540852231,化学纤维制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,1.318934198447562,化学纤维制造业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.9974552375742436
109,139830,57253.0,0.6121607817170818,土木工程建筑业个体工商户数量,t,行业（个体工商户）,建筑业,ValueOntology.QUANTITY,0.8738979176761783,化学纤维制造业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.9974552375742436
110,107541,57253.0,0.6523825042275874,每万人采摘园相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,1.0097343580980715,化学纤维制造业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.9974552375742436
111,107640,57253.0,0.5161240931510163,每万人工厂相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.7317408874597882,化学纤维制造业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.9974552375742436
135,139970,57253.0,0.585050630518612,化学纤维制造业个体工商户数量全国占比,t,行业（个体工商户）,制造业,ValueOntology.PROPORTION_OF_NATION,1.3189317290343698,化学纤维制造业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.9974552375742436
148,72046,57253.0,0.5128155599049523,公司企业；工厂；此类数据总个数,f,POI,公司企业,ValueOntology.QUANTITY,0.7625569376149701,化学纤维制造业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.9974552375742436
157,139990,57253.0,0.6121593924185701,土木工程建筑业个体工商户数量全国占比,t,行业（个体工商户）,建筑业,ValueOntology.PROPORTION_OF_NATION,0.8738982146078302,化学纤维制造业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.9974552375742436
162,139893,57253.0,0.529750188548093,专用设备制造业个体工商户数量占比,t,行业（个体工商户）,制造业,ValueOntology.PERCENTAGE,0.8716204079882747,化学纤维制造业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.9974552375742436
166,56624,57253.0,0.6515845565403714,体育休闲服务；休闲场所；采摘园；此类数据总个数,f,POI,体育休闲服务,ValueOntology.QUANTITY,1.001471742582237,化学纤维制造业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.9974552375742436
168,139906,57253.0,0.567319549600447,土木工程建筑业个体工商户数量占比,t,行业（个体工商户）,建筑业,ValueOntology.PERCENTAGE,1.0374663074222592,化学纤维制造业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.9974552375742436
178,71950,57394.0,0.6091606347817013,制造业企业数量全国占比（大类）（上市）,t,行业（上市企业）,制造业（上市）,ValueOntology.PROPORTION_OF_NATION,0.8235311403766101,专用设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.6966568994433738
213,139816,57394.0,0.5212601205796549,通用设备制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.9388924353765468,专用设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.6966568994433738
214,139814,57394.0,0.5040146523587317,有色金属冶炼和压延加工业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.7751241290101616,专用设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.6966568994433738
216,107640,57394.0,0.6663272738686287,每万人工厂相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.7317408874597882,专用设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.6966568994433738
217,107589,57394.0,0.5706904071161859,每万人产业园区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6503313079275183,专用设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.6966568994433738
237,60571,57394.0,-0.5779107388451706,城区小学配置均衡度得分,t,配套,小学配置,ValueOntology.SCORE,0.5047608581308408,专用设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.6966568994433738
248,139976,57394.0,0.5212611666697136,通用设备制造业个体工商户数量全国占比,t,行业（个体工商户）,制造业,ValueOntology.PROPORTION_OF_NATION,0.9388905016816088,专用设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.6966568994433738
261,72046,57394.0,0.6467307415276066,公司企业；工厂；此类数据总个数,f,POI,公司企业,ValueOntology.QUANTITY,0.7625569376149701,专用设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.6966568994433738
274,139974,57394.0,0.5040154066959641,有色金属冶炼和压延加工业个体工商户数量全国占比,t,行业（个体工商户）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7751268821156768,专用设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.6966568994433738
277,60710,57394.0,0.5492386070966828,第二产业占GDP的比重,t,经济,,ValueOntology.PERCENTAGE,0.5119545806697243,专用设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.6966568994433738
