,index_id1,index_id2,value,index_name1,year_period1,type1,sub_type1,value_ontology1,dispersion1,index_name2,year_period2,type2,sub_type2,value_ontology2,dispersion2
2,139796,141224.0,0.5212487299662679,农副食品加工业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.7448815240268959,本年度新增注册燃气生产和供应业企业数量,t,行业（企业）,电力、热力、燃气及水生产和供应业,ValueOntology.DIFF_QUANTITY,1.245013560112333
7,149636,141224.0,0.6114705928359009,每万人农、林、牧、渔专业及辅助性活动个体工商户数量,t,行业（个体工商户）,农、林、牧、渔业,ValueOntology.QUANTITY_PER_CAPITA,0.9896213362104466,本年度新增注册燃气生产和供应业企业数量,t,行业（企业）,电力、热力、燃气及水生产和供应业,ValueOntology.DIFF_QUANTITY,1.245013560112333
14,141668,141224.0,0.50920282372307,本年度新增注册纺织服装、服饰业个体工商户数量全国占比,t,行业（个体工商户）,制造业,ValueOntology.PROPORTION_OF_NATION,1.2912208753631156,本年度新增注册燃气生产和供应业企业数量,t,行业（企业）,电力、热力、燃气及水生产和供应业,ValueOntology.DIFF_QUANTITY,1.245013560112333
24,149636,141318.0,0.5754668347135478,每万人农、林、牧、渔专业及辅助性活动个体工商户数量,t,行业（个体工商户）,农、林、牧、渔业,ValueOntology.QUANTITY_PER_CAPITA,0.9896213362104466,本年度新增注册燃气生产和供应业企业数量占比,t,行业（企业）,电力、热力、燃气及水生产和供应业,ValueOntology.PERCENTAGE,1.25886831671861
28,60711,141318.0,0.5138633012247485,第一产业占GDP的比重,t,经济,,ValueOntology.PERCENTAGE,1.119367148706346,本年度新增注册燃气生产和供应业企业数量占比,t,行业（企业）,电力、热力、燃气及水生产和供应业,ValueOntology.PERCENTAGE,1.25886831671861
37,139796,110741.0,0.5628163738684082,农副食品加工业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.7448815240268959,农、林、牧、渔专业及辅助性活动企业数量全国占比,t,行业（企业）,农、林、牧、渔业,ValueOntology.PROPORTION_OF_NATION,0.7482578362304825
45,149642,110741.0,0.501534904162806,每万人非金属矿采选业个体工商户数量,t,行业（个体工商户）,采矿业,ValueOntology.QUANTITY_PER_CAPITA,0.9890868650283078,农、林、牧、渔专业及辅助性活动企业数量全国占比,t,行业（企业）,农、林、牧、渔业,ValueOntology.PROPORTION_OF_NATION,0.7482578362304825
46,149636,110741.0,0.5271274156133726,每万人农、林、牧、渔专业及辅助性活动个体工商户数量,t,行业（个体工商户）,农、林、牧、渔业,ValueOntology.QUANTITY_PER_CAPITA,0.9896213362104466,农、林、牧、渔专业及辅助性活动企业数量全国占比,t,行业（企业）,农、林、牧、渔业,ValueOntology.PROPORTION_OF_NATION,0.7482578362304825
53,60711,110741.0,0.5260795941424968,第一产业占GDP的比重,t,经济,,ValueOntology.PERCENTAGE,1.119367148706346,农、林、牧、渔专业及辅助性活动企业数量全国占比,t,行业（企业）,农、林、牧、渔业,ValueOntology.PROPORTION_OF_NATION,0.7482578362304825
54,139955,110741.0,0.562815474130075,农副食品加工业个体工商户数量全国占比,t,行业（个体工商户）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7448817641496122,农、林、牧、渔专业及辅助性活动企业数量全国占比,t,行业（企业）,农、林、牧、渔业,ValueOntology.PROPORTION_OF_NATION,0.7482578362304825
