,index_id1,index_id2,value,index_name1,year_period1,type1,sub_type1,value_ontology1,dispersion1,index_name2,year_period2,type2,sub_type2,value_ontology2,dispersion2
8,107589,57388.0,0.5200579373661104,每万人产业园区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6596059526394643,化学纤维制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.9317618426535528
15,149673,57388.0,0.5098741824510671,每万人仪器仪表制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY_PER_CAPITA,1.010050844209628,化学纤维制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.9317618426535528
20,42583,57388.0,0.5147940851922825,商务住宅；产业园区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6552010285310598,化学纤维制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.9317618426535528
24,107589,57253.0,0.5082491403913147,每万人产业园区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6596059526394643,化学纤维制造业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.9948672503034554
29,42583,57253.0,0.5052709067339978,商务住宅；产业园区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6552010285310598,化学纤维制造业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.9948672503034554
36,139838,57188.0,0.5055704183186405,多式联运和运输代理业个体工商户数量,t,行业（个体工商户）,交通运输、仓储和邮政业,ValueOntology.QUANTITY,0.864655987116866,电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7161441781474199
66,139815,57188.0,0.555720650218184,金属制品业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.7539131832527458,电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7161441781474199
68,139804,57188.0,0.5948195570599316,造纸和纸制品业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.9230460737347652,电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7161441781474199
70,139816,57188.0,0.5832943213795383,通用设备制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.863903961142205,电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7161441781474199
72,139817,57188.0,0.5910963213920198,专用设备制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.9090091500962,电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7161441781474199
73,139802,57188.0,0.5464149090417275,木材加工和木、竹、藤、棕、草制品业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.9200403289411974,电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7161441781474199
75,107589,57188.0,0.6414216821255838,每万人产业园区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6596059526394643,电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7161441781474199
76,107640,57188.0,0.6433745879371424,每万人工厂相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6733525489483366,电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7161441781474199
78,149653,57188.0,0.5488670667069366,每万人木材加工和木、竹、藤、棕、草制品业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY_PER_CAPITA,0.9164106376170364,电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7161441781474199
80,149655,57188.0,0.5982854555301791,每万人造纸和纸制品业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY_PER_CAPITA,0.9526638563517994,电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7161441781474199
90,149695,57188.0,0.5012538744518436,每万人多式联运和运输代理业个体工商户数量,t,行业（个体工商户）,交通运输、仓储和邮政业,ValueOntology.QUANTITY_PER_CAPITA,0.8601888560598154,电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7161441781474199
98,149668,57188.0,0.5898200372051721,每万人专用设备制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY_PER_CAPITA,0.9399761105513208,电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7161441781474199
