,index_id1,index_id2,value,index_name1,year_period1,type1,sub_type1,value_ontology1,dispersion1,index_name2,year_period2,type2,sub_type2,value_ontology2,dispersion2
11,141430,141132.0,0.5132049237728329,本年度新增注册电信、广播电视和卫星传输服务企业数量全国占比,t,行业（企业）,信息传输、软件和信息技术服务业,ValueOntology.PROPORTION_OF_NATION,0.7189871816590386,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
12,141431,141132.0,0.5286508637854659,本年度新增注册互联网和相关服务企业数量全国占比,t,行业（企业）,信息传输、软件和信息技术服务业,ValueOntology.PROPORTION_OF_NATION,0.9055643118384632,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
13,141419,141132.0,0.5463601245109513,本年度新增注册零售业企业数量全国占比,t,行业（企业）,批发和零售业,ValueOntology.PROPORTION_OF_NATION,0.6988413082123824,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
14,141425,141132.0,0.546682990171665,本年度新增注册多式联运和运输代理业企业数量全国占比,t,行业（企业）,交通运输、仓储和邮政业,ValueOntology.PROPORTION_OF_NATION,0.9393342461068414,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
15,141418,141132.0,0.5052704274051751,本年度新增注册批发业企业数量全国占比,t,行业（企业）,批发和零售业,ValueOntology.PROPORTION_OF_NATION,0.6419249722619518,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
16,141390,141132.0,0.5639515455749297,本年度新增注册印刷和记录媒介复制业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.8732483009310891,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
17,141394,141132.0,0.5556490675882871,本年度新增注册医药制造业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.6802437132638854,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
18,141405,141132.0,0.5085114177017204,本年度新增注册电气机械和器材制造业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.8427008399733692,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
20,141372,141132.0,0.6061795944755282,本年度新增注册农、林、牧、渔专业及辅助性活动企业数量全国占比,t,行业（企业）,农、林、牧、渔业,ValueOntology.PROPORTION_OF_NATION,0.708791281771463,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
21,107619,141132.0,0.5525664273110564,每万人驾校相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5916291525242279,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
33,141243,141132.0,0.5286507650984197,本年度新增注册互联网和相关服务企业数量,t,行业（企业）,信息传输、软件和信息技术服务业,ValueOntology.DIFF_QUANTITY,0.9055644967314704,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
35,141230,141132.0,0.5052702396396408,本年度新增注册批发业企业数量,t,行业（企业）,批发和零售业,ValueOntology.DIFF_QUANTITY,0.6419253285776231,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
36,141231,141132.0,0.5463603174787164,本年度新增注册零售业企业数量,t,行业（企业）,批发和零售业,ValueOntology.DIFF_QUANTITY,0.6988413000881053,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
37,111800,141132.0,0.5216827373912449,近2年中国电信营业厅相关兴趣点数量增长,t,POI,近2年兴趣点数量增长,ValueOntology.DIFF_QUANTITY,0.6013752730769669,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
38,141237,141132.0,0.5466832000253797,本年度新增注册多式联运和运输代理业企业数量,t,行业（企业）,交通运输、仓储和邮政业,ValueOntology.DIFF_QUANTITY,0.9393342869167648,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
39,141206,141132.0,0.555649263120936,本年度新增注册医药制造业企业数量,t,行业（企业）,制造业,ValueOntology.DIFF_QUANTITY,0.680243634769645,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
40,139022,141132.0,0.5887694854711151,注册3-5年个体工商户数量,t,行业（个体工商户）,注册年限,ValueOntology.QUANTITY,0.5152493172014714,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
41,141217,141132.0,0.5085114752058632,本年度新增注册电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.DIFF_QUANTITY,0.8427003048713838,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
43,141484,141132.0,0.5491287373044239,本年度新增注册造纸和纸制品业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.DIFF_QUANTITY,1.2980759687506198,本年度新增注册汽车产业产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.DIFF_QUANTITY,0.7793821274479934
