frp,lat,lon,grid,occurred_time
1.55,33.257738,131.658625,29626226,2022-07-07
3.29,33.255837,131.646366,29620689,2022-07-07
1.55,33.261019,131.657904,29626227,2022-07-07
5.48,33.780164,131.008021,29299602,2022-07-07
7.69,33.783443,131.007288,29294065,2022-07-07
7.74,33.943459,130.833887,29205491,2022-07-07
1.71,34.713346,134.831485,31243192,2022-07-07
1.71,34.712745,134.826633,31243192,2022-07-07
2.68,34.716891,134.830846,31243193,2022-07-07
2.68,34.720436,134.830208,31243193,2022-07-07
4.01,34.749204,134.372214,31010642,2022-07-07
8.31,34.913781,127.759185,27644165,2022-07-07
7.26,34.926073,127.745665,27633092,2022-07-07
5.41,34.922495,127.72617,27627555,2022-07-07
5.38,36.007327,117.099752,22212490,2022-07-07
4.55,36.958227,116.701951,22007726,2022-07-07
6.84,38.289942,117.828051,22583723,2022-07-07
8.47,38.291241,117.828779,22583723,2022-07-07
3.28,39.799389,120.619632,24006900,2022-07-07
1.87,39.487243,118.709235,23032353,2022-07-07
4.36,40.3141,122.140864,24782137,2022-07-07
4.21,39.594107,118.475276,22910551,2022-07-07
1.35,39.747938,118.828609,23093289,2022-07-07
1.73,39.92121,118.234771,22788773,2022-07-07
3.08,40.112992,118.747415,23049034,2022-07-07
3.17,39.710251,116.89787,22107699,2022-07-07
2.32,40.783597,118.271292,22811017,2022-07-07
3.41,42.526902,122.488709,24959567,2022-07-07
6.88,41.835328,119.294096,23331612,2022-07-07
5.33,41.834963,119.298374,23331612,2022-07-07
6.51,42.268932,119.152528,23259680,2022-07-07
2.72,46.374106,123.639661,25546918,2022-07-07
9.71,46.380932,123.636957,25541381,2022-07-07
5.47,46.384351,123.635605,25541382,2022-07-07
2.66,46.946857,123.73446,25591277,2022-07-07
1.54,47.444133,124.046365,25751906,2022-07-07
5.15,47.903338,123.508479,25480644,2022-07-07
5.78,47.906701,123.507115,25475107,2022-07-07
5.37,47.913054,123.522155,25486182,2022-07-07
4.28,47.922532,123.494849,25469572,2022-07-07
7.26,47.925895,123.493485,25469572,2022-07-07
4.92,47.918862,122.783073,25109667,2022-07-07
6.79,47.917778,122.777386,25104129,2022-07-07
4.92,47.922283,122.781644,25109667,2022-07-07
6.79,47.921208,122.775937,25104130,2022-07-07
2.76,47.924617,122.774488,25104130,2022-07-07
2.76,47.928047,122.773059,25104131,2022-07-07
3.68,47.951157,122.837184,25137355,2022-07-07
4.07,47.984872,122.759586,25098600,2022-07-07
1.47,48.391622,124.458719,25962417,2022-07-07
3.13,48.482265,124.886956,26178370,2022-07-07
4.14,48.480516,124.876547,26172833,2022-07-07
3.93,48.482042,124.864886,26167296,2022-07-07
1.49,48.475406,124.476612,25973500,2022-07-07
1.14,50.155368,125.700481,26593832,2022-07-07
4.55,49.239792,120.570349,23980266,2022-07-07
1.64,50.420652,124.147544,25802070,2022-07-07
6.3,51.70766,134.946858,31305991,2022-07-07
10.95,10.634127,107.493742,17314957,2022-07-07
2.78,12.048044,107.961558,17553205,2022-07-07
3.83,12.231478,105.677195,16390456,2022-07-07
3.37,12.296355,105.870524,16490129,2022-07-07
6.6,12.291309,105.228814,16163445,2022-07-07
2.64,12.289903,105.169571,16130223,2022-07-07
2.64,12.294324,105.168771,16130224,2022-07-07
4.67,12.431944,104.646058,15864463,2022-07-07
6.93,15.143999,108.441188,17797178,2022-07-07
13.78,15.201846,108.533685,17847017,2022-07-07
4.7,15.636563,101.048446,14032073,2022-07-07
7.76,22.928672,105.193886,16142482,2022-07-07
5.16,22.927468,105.195884,16148018,2022-07-07
9.36,22.687935,101.589568,14309708,2022-07-07
5.37,22.687774,101.592107,14309708,2022-07-07
6.42,22.621073,100.814707,13916573,2022-07-07
6.22,22.619734,100.813848,13916573,2022-07-07
9.79,22.595667,100.557794,13783683,2022-07-07
9.79,22.594557,100.552573,13778145,2022-07-07
4.48,23.450863,103.234622,15145880,2022-07-07
4.63,23.996958,106.030862,16568950,2022-07-07
16.96,48.118838,92.676467,9772199,2022-07-07
16.96,48.122812,92.67437,9772199,2022-07-07
37.43,48.139915,92.708483,9788812,2022-07-07
37.69,48.138608,92.703028,9783275,2022-07-07
37.69,48.137309,92.697553,9783275,2022-07-07
72.76,48.142583,92.700932,9783275,2022-07-07
261.58,48.143891,92.706387,9788813,2022-07-07
3.93,49.644744,83.584101,5137900,2022-07-07
5.23,50.39788,80.188388,3410440,2022-07-07
5.66,23.304476,101.231371,14127055,2022-07-07
13.23,23.313889,101.230102,14127056,2022-07-07
2.95,23.735691,103.247824,15151448,2022-07-07
7.71,23.423536,101.486957,14254420,2022-07-07
3.68,24.670193,108.383948,17770553,2022-07-07
3.97,23.420143,101.491234,14259956,2022-07-07
4.57,24.078018,104.802334,15943278,2022-07-07
5.74,23.247616,100.387072,13695163,2022-07-07
8.02,23.44998,100.356524,13678575,2022-07-07
5.22,25.065677,109.250075,18213557,2022-07-07
48.6,23.775808,101.415225,14221237,2022-07-07
5.75,24.500298,104.677797,15882418,2022-07-07
2.6,23.927984,101.692277,14359679,2022-07-07
1.58,23.59658,99.539475,13263316,2022-07-07
4.8,24.830739,105.5915,16347562,2022-07-07
389.33,25.234878,106.908466,17017584,2022-07-07
172.95,25.234238,106.904593,17017584,2022-07-07
172.95,25.237608,106.903973,17017585,2022-07-07
389.33,25.238228,106.907765,17017585,2022-07-07
2.12,25.32577,106.817855,16973298,2022-07-07
312.59,25.328468,106.813081,16967762,2022-07-07
23.43,25.339104,106.835851,16984374,2022-07-07
11.71,25.339776,106.839995,16984374,2022-07-07
9.41,25.158372,104.92097,16004305,2022-07-07
4.9,24.845167,103.13226,15096202,2022-07-07
5.64,24.846627,103.13259,15096202,2022-07-07
4.03,24.925318,103.130824,15096211,2022-07-07
2.04,24.872237,102.808933,14930095,2022-07-07
2.45,25.939972,108.920092,18042008,2022-07-07
4.41,24.961221,102.81318,14930105,2022-07-07
4.12,25.111676,102.982451,15018714,2022-07-07
4.12,25.110915,102.978536,15018714,2022-07-07
14.97,25.804441,105.453741,16275690,2022-07-07
7.07,25.803641,105.449007,16275690,2022-07-07
3.23,26.469944,106.315617,16718724,2022-07-07
7.57,26.196526,104.108392,15594682,2022-07-07
8.41,26.522068,104.936271,16015531,2022-07-07
9.05,26.521272,104.9318,16009994,2022-07-07
3.7,26.54089,104.367099,15722072,2022-07-07
4.61,27.342713,109.01984,18091997,2022-07-07
2.86,26.621224,104.393204,15738692,2022-07-07
6.12,26.502564,103.62814,15345551,2022-07-07
8.8,26.509273,103.642957,15356626,2022-07-07
4.61,26.944312,105.888842,16497297,2022-07-07
4.2,26.996069,106.155574,16635727,2022-07-07
10.15,26.92688,104.249158,15666745,2022-07-07
2.85,27.370008,106.156073,16635769,2022-07-07
11.78,26.559978,101.673396,14354435,2022-07-07
12.92,26.572681,101.670761,14348899,2022-07-07
6.79,26.571692,101.665901,14348899,2022-07-07
5.54,26.784311,102.0723,14553792,2022-07-07
5.87,28.206281,109.653795,18418776,2022-07-07
8.67,27.793839,106.405775,16763167,2022-07-07
10.89,27.844759,106.366269,16741025,2022-07-07
11.06,28.366706,105.279545,16187383,2022-07-07
10.47,28.558226,105.747854,16425495,2022-07-07
9.02,28.543345,104.323936,15700147,2022-07-07
9.41,28.975256,106.870074,17001390,2022-07-07
7.99,28.838704,105.913722,16514119,2022-07-07
8.72,28.85259,105.924453,16519657,2022-07-07
7.27,28.76109,105.359985,16231723,2022-07-07
10.89,28.881178,105.572625,16336939,2022-07-07
5.48,29.060738,106.124893,16619346,2022-07-07
6.57,29.060071,106.120847,16619346,2022-07-07
11.34,29.067993,106.148483,16630421,2022-07-07
11.14,28.807117,104.393258,15738935,2022-07-07
3.77,30.450547,117.245105,22283852,2022-07-07
4.68,29.374155,107.532071,17339191,2022-07-07
3.7,29.281705,106.567803,16846388,2022-07-07
6.2,29.239699,106.200886,16658125,2022-07-07
9.9,29.325592,106.456182,16791023,2022-07-07
5.81,29.144313,105.353388,16226229,2022-07-07
5.81,29.143605,105.349185,16226228,2022-07-07
3.57,28.824045,103.533865,15301514,2022-07-07
11.88,29.34208,106.345411,16730118,2022-07-07
16.81,29.386836,106.286462,16702438,2022-07-07
14.32,29.384883,106.274376,16696900,2022-07-07
11.78,29.410523,106.347791,16735662,2022-07-07
5.37,29.449954,106.236048,16674760,2022-07-07
5.85,29.453924,106.239376,16680297,2022-07-07
5.85,29.453266,106.235338,16674760,2022-07-07
10.38,29.455941,106.230602,16674760,2022-07-07
9.52,29.498247,106.449545,16785505,2022-07-07
6.04,29.367355,105.526892,16314845,2022-07-07
6.97,30.839515,117.78316,22560745,2022-07-07
3.78,29.167734,104.286287,15683605,2022-07-07
6.02,29.308684,104.846954,15971545,2022-07-07
5.18,30.025465,109.448584,18313776,2022-07-07
5.7,29.59093,106.496553,16807663,2022-07-07
5.85,29.613443,106.48779,16807666,2022-07-07
10.68,29.333326,104.81131,15949400,2022-07-07
6.04,29.828315,107.61304,17378001,2022-07-07
3.67,29.811291,107.499016,17322629,2022-07-07
10.06,29.652015,106.450892,16785522,2022-07-07
3.05,29.299284,104.348002,15716842,2022-07-07
9.82,29.779453,107.046672,17090071,2022-07-07
10.94,29.572682,105.748882,16431145,2022-07-07
6.91,29.57201,105.744769,16425608,2022-07-07
5.41,29.792153,107.060656,17095610,2022-07-07
