type_name,type_code,sector_id,daas_id
食品制造业企业数量,8030100050,C14000,57160
酒、饮料和精制茶制造业企业数量,8030100052,C15000,57162
纺织业企业数量,8030100056,C17000,57166
纺织服装、服饰业企业数量,8030100058,C18000,57168
皮革、毛皮、羽毛及其制品和制鞋业企业数量,8030100060,C19000,57376
木材加工和木、竹、藤、棕、草制品业企业数量,8030100062,C20000,57169
家具制造业企业数量,8030100064,C21000,57171
造纸和纸制品业企业数量,8030100066,C22000,57173
印刷和记录媒介复制业企业数量,8030100068,C23000,57378
文教、工美、体育和娱乐用品制造业企业数量,8030100070,C24000,57380
石油、煤炭及其他燃料加工业企业数量,8030100072,C25000,57382
化学原料和化学制品制造业企业数量,8030100074,C26000,57384
医药制造业企业数量,8030100076,C27000,57386
化学纤维制造业企业数量,8030100078,C28000,57388
橡胶和塑料制品业企业数量,8030100080,C29000,57176
非金属矿物制品业企业数量,8030100082,C30000,57178
黑色金属冶炼和压延加工业企业数量,8030100084,C31000,57180
有色金属冶炼和压延加工业企业数量,8030100086,C32000,57182
金属制品业企业数量,8030100088,C33000,57390
通用设备制造业企业数量,8030100090,C34000,57392
专用设备制造业企业数量,8030100092,C35000,57394
汽车制造业企业数量,8030100094,C36000,57184
铁路、船舶、航空航天和其他运输设备制造业企业数量,8030100096,C37000,57186
电气机械和器材制造业企业数量,8030100098,C38000,57188
计算机、通信和其他电子设备制造业企业数量,8030100100,C39000,57190
仪器仪表制造业企业数量,8030100102,C40000,57192
其他制造业企业数量,8030100104,C41000,57194
废弃资源综合利用业企业数量,8030100106,C42000,57196
金属制品、机械和设备修理业企业数量,8030100108,C43000,57396
电力、热力生产和供应业企业数量,8030100112,D44000,57400
燃气生产和供应业企业数量,8030100114,D45000,57402
水的生产和供应业企业数量,8030100116,D46000,57404
房屋建筑业企业数量,8030100120,E47000,57199
土木工程建筑业企业数量,8030100122,E48000,57407
建筑安装业企业数量,8030100124,E49000,57409
建筑装饰、装修和其他建筑业企业数量,8030100126,E50000,57411
批发业企业数量,8030100130,F51000,57415
零售业企业数量,8030100132,F52000,57201
铁路运输业企业数量,8030100136,G53000,57205
道路运输业企业数量,8030100138,G54000,57207
水上运输业企业数量,8030100140,G55000,57208
航空运输业企业数量,8030100142,G56000,57210
多式联运和运输代理业企业数量,8030101487,G58000,70631
装卸搬运和仓储业企业数量,8030100146,G59000,57418
邮政业企业数量,8030100150,G60000,57422
住宿业企业数量,8030100154,H61000,57426
餐饮业企业数量,8030100156,H62000,57428
电信、广播电视和卫星传输服务企业数量,8030100160,I63000,57432
互联网和相关服务企业数量,8030100162,I64000,57434
软件和信息技术服务业企业数量,8030100164,I65000,57436
货币金融服务企业数量,8030100168,J66000,57440
资本市场服务企业数量,8030100170,J67000,57442
保险业企业数量,8030100172,J68000,57444
其他金融业企业数量,8030100174,J69000,57446
租赁业企业数量,8030100180,L71000,57452
商务服务业企业数量,8030100182,L72000,57454
研究和试验发展企业数量,8030100186,M73000,57458
专业技术服务业企业数量,8030100188,M74000,57460
科技推广和应用服务业企业数量,8030100190,M75000,57462
生态保护和环境治理业企业数量,8030100196,N77000,57468
公共设施管理业企业数量,8030100198,N78000,57470
居民服务业企业数量,8030100204,O80000,57476
机动车、电子产品和日用产品修理业企业数量,8030100206,O81000,57478
卫生企业数量,8030100214,Q84000,57486
新闻和出版业企业数量,8030100220,R86000,57491
广播、电视、电影和录音制作业企业数量,8030100222,R87000,57493
文化艺术业企业数量,8030100224,R88000,57495
体育企业数量,8030100226,R89000,57497
农业企业数量,8030100024,A01000,57359
林业企业数量,8030100026,A02000,57361
畜牧业企业数量,8030100028,A03000,57363
渔业企业数量,8030100030,A04000,57151
农、林、牧、渔专业及辅助性活动企业数量,8030100032,A05000,57365
煤炭开采和洗选业企业数量,8030100034,B06000,57367
石油和天然气开采业企业数量,8030100036,B07000,57369
黑色金属矿采选业企业数量,8030101313,B08000,64471
有色金属矿采选业企业数量,8030100038,B09000,57371
非金属矿采选业企业数量,8030100040,B10000,57373
开采专业及辅助性活动企业数量,8030100042,B11000,57152
农副食品加工业企业数量,8030100048,C13000,57158
房地产业企业数量（大类）,8030100703,K70000,63316
教育企业数量（大类）,8030100713,P83000,63323
